Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Nacho Alvarez Jr.","ATL","3B",495.1,,,,0,,-1,8,,5,,,,,,,,2,2,2.3349082569261457,"Nacho Alvarez Jr.",31765,805373
"Isiah Kiner-Falefa","- - -","3B",256.2,,,,0,,0,2,,3,,,,,,,,2,2,2.287477789860747,"Isiah Kiner-Falefa",16512,643396
"Ramón Urías","- - -","3B",638.1,,,,0,,0,5,,5,,,,,,,,1,1,2.18471672588691,"Ramon Urias",18795,602104
"Andy Ibáñez","DET","3B",323.1,,,,-1,,0,5,,4,,,,,,,,2,2,2.184361714098062,"Andy Ibanez",18819,628451
"Marcelo Mayer","BOS","3B",248.2,,,,0,,0,0,,0,,,,,,,,2,2,2.157976517399621,"Marcelo Mayer",29668,691785
"Enrique Hernández","LAD","3B",195.2,,,,0,,0,1,,1,,,,,,,,2,2,1.9436793308470939,"Enrique Hernandez",10472,571771
"Ben Williamson","SEA","3B",703,,,,-1,,1,6,,8,,,,,,,,0,0,1.8714162918355892,"Ben Williamson",33197,810938
"Oswald Peraza","- - -","3B",382.2,,,,-1,,-1,7,,5,,,,,,,,1,0,1.8270867860242026,"Oswald Peraza",22823,672724
"Brett Harris","ATH","3B",183.2,,,,0,,0,5,,5,,,,,,,,2,2,1.8182850251230684,"Brett Harris",29788,695391
"Javier Báez","DET","3B",147.1,,,,0,,0,1,,1,,,,,,,,2,1,1.8002592477188144,"Javier Baez",12979,595879
"Jonah Bride","- - -","3B",151,,,,0,,0,0,,1,,,,,,,,2,1,1.706979822195698,"Jonah Bride",24703,681146
"Nick Loftin","KCR","3B",87,,,,0,,0,2,,2,,,,,,,,2,1,1.6886318862674325,"Nick Loftin",27630,679845
"Matt Shaw","CHC","3B",1010,,,,0,,1,11,,12,,,,,,,,-1,-1,1.5628047621310603,"Matt Shaw",33322,807713
"Javier Sanoja","MIA","3B",255.2,,,,0,,0,5,,4,,,,,,,,1,1,1.5059043602202362,"Javier Sanoja",28253,691594
"Emmanuel Rivera","BAL","3B",223.2,,,,0,,0,1,,2,,,,,,,,1,1,1.5048351220441027,"Emmanuel Rivera",19890,656896
"Tommy Edman","LAD","3B",101,,,,0,,0,0,,0,,,,,,,,2,1,1.4820064834641458,"Tommy Edman",19470,669242
