Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Max Kepler","PHI","RF",229,,,,,-2,0,1,,-1,,,,,,,,0,-1,-1.8316433274404427,"Max Kepler",12144,596146
"Isaac Collins","MIL","RF",57.1,,,,,0,0,-2,,-2,,,,,,,,-2,-2,-1.8729991039927112,"Isaac Collins",25477,686555
"Dane Myers","MIA","RF",175,,,,,1,0,-1,,0,,,,,,,,-2,-1,-1.9711218393714645,"Dane Myers",22054,667472
"LaMonte Wade Jr.","LAA","RF",122,,,,,-1,0,0,,-1,,,,,,,,-1,-2,-2.0232753189494015,"LaMonte Wade Jr.",18126,664774
"Dylan Carlson","BAL","RF",84.1,,,,,0,0,-2,,-2,,,,,,,,-2,-2,-2.0716025139363414,"Dylan Carlson",20126,666185
"Ryan O'Hearn","- - -","RF",149,,,,,-1,0,-3,,-4,,,,,,,,-1,-2,-2.1666840918006747,"Ryan O'Hearn",16442,656811
"Connor Joe","CIN","RF",82,,,,,0,0,0,,0,,,,,,,,-2,-2,-2.1716732751156678,"Connor Joe",16572,656582
"Mike Tauchman","CHW","RF",571,,,,,1,5,-3,,3,,,,,,,,0,0,-2.1776776850536956,"Mike Tauchman",15274,643565
"Jarred Kelenic","ATL","RF",160,,,,,-2,-1,2,,-1,,,,,,,,0,-2,-2.2780558507050617,"Jarred Kelenic",22558,672284
"Jake Fraley","- - -","RF",441.1,,,,,-1,-1,4,,2,,,,,,,,0,-1,-2.440369934369186,"Jake Fraley",19260,641584
"Mike Trout","LAA","RF",185,,,,,-1,0,-2,,-3,,,,,,,,-2,-2,-2.5385078279377815,"Mike Trout",10155,545361
"Will Benson","CIN","RF",264.2,,,,,-2,0,4,,2,,,,,,,,0,-2,-2.5516223548490315,"Will Benson",21853,666181
