Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Seth Brown","ATH","LF",58,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.008888247593572,"Seth Brown",18171,664913
"Sam Haggerty","TEX","LF",140,,,,,0,-1,0,,-1,,,,,,,,0,-1,-1.0269539811999446,"Sam Haggerty",18054,664059
"Joshua Palacios","CHW","LF",65,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.0282561936792944,"Joshua Palacios",19818,641943
"José Azocar","NYM","LF",21,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.0308337912992045,"Jose Azocar",18821,640492
"Otto Kemp","PHI","LF",63,,,,,1,0,0,,1,,,,,,,,-1,-1,-1.0410895460746405,"Otto Kemp",31792,805249
"Sam Hilliard","COL","LF",60,,,,,1,0,-2,,-1,,,,,,,,-1,-1,-1.05485592814821,"Sam Hilliard",17954,656541
"Santiago Espinal","CIN","LF",42,,,,,0,0,0,,0,,,,,,,,-1,-1,-1.0741036279692753,"Santiago Espinal",19997,669289
"Daniel Johnson","- - -","LF",28,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.0819240054497843,"Daniel Johnson",19643,669288
"Cody Freeman","TEX","LF",12.2,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.0931010601576125,"Cody Freeman",25629,683227
"Yanquiel Fernández","COL","LF",12,,,,,1,0,-1,,0,,,,,,,,-2,-1,-1.099044554496512,"Yanquiel Fernandez",28552,692585
"Jeff McNeil","NYM","LF",59.1,,,,,-1,0,-1,,-2,,,,,,,,-1,-1,-1.1487599063700762,"Jeff McNeil",15362,643446
"Mike Yastrzemski","KCR","LF",46,,,,,0,0,-2,,-2,,,,,,,,-1,-1,-1.2045736072765736,"Mike Yastrzemski",14854,573262
"Jack Suwinski","PIT","LF",134,,,,,1,-1,1,,1,,,,,,,,-1,-1,-1.2104521217404214,"Jack Suwinski",22244,669261
"Michael A. Taylor","CHW","LF",246.2,,,,,1,-1,2,,2,,,,,,,,0,-1,-1.2251564053118282,"Michael A. Taylor",11489,572191
"Luis Matos","SFG","LF",72,,,,,0,-1,-1,,-2,,,,,,,,-1,-1,-1.2844248163869025,"Luis Matos",26467,682641
"Drew Waters","KCR","LF",231.2,,,,,-2,0,2,,0,,,,,,,,0,-1,-1.289679894919363,"Drew Waters",20505,671221
"Jahmai Jones","DET","LF",37,,,,,0,0,-2,,-2,,,,,,,,-1,-1,-1.2963385645779146,"Jahmai Jones",18872,663330
"Zach Cole","HOU","LF",44,,,,,0,0,0,,0,,,,,,,,-1,-1,-1.3322623298078065,"Zach Cole",31583,805904
"Taylor Trammell","HOU","LF",134.2,,,,,-2,-1,-1,,-4,,,,,,,,0,-1,-1.4285178875085072,"Taylor Trammell",19960,666211
"Jakob Marsee","MIA","LF",56,,,,,-1,0,0,,-1,,,,,,,,-1,-1,-1.4439429289931087,"Jakob Marsee",31370,805300
"Zach Dezenzo","HOU","LF",108,,,,,0,0,-1,,-1,,,,,,,,-2,-1,-1.45209377859985,"Zach Dezenzo",31562,701305
"Nick Solak","PIT","LF",6,,,,,0,0,-3,,-3,,,,,,,,-1,-2,-1.5437998005573517,"Nick Solak",19294,669256
"Joey Loperfido","TOR","LF",172,,,,,0,0,1,,1,,,,,,,,0,-1,-1.5647291630108366,"Joey Loperfido",29630,694388
"George Springer","TOR","LF",85,,,,,-1,0,0,,-1,,,,,,,,0,-1,-1.6066556151074471,"George Springer",12856,543807
"Eric Wagaman","MIA","LF",106.1,,,,,0,0,-1,,-1,,,,,,,,-1,-1,-1.645207826662217,"Eric Wagaman",23395,676572
